EXHIBITOR,BREWERY,BEER NAME,Tasting Notes,ABV ,STYLE,,,,,,,,,,,,,,,,,,,
Altitude Brewing,Altitude Brewing,Good Times,"One of our core values here at Altitude is having a good time. Some days are naturally gonna be better than others, and some don't go as planned, but as they say, you can turn lemons into lemonade. When it's time to pass up a beer, we respect that. But it never means you shouldn't be having a good time as good times are all the time with us. This extra pale ale is crafted with all the best qualities of a full-flavoured brew but without the booze.",0.5,Non-Alc XPA,,,,,,,,,,,,,,,,,,,
Altitude Brewing,Altitude Brewing,"Jam Sessions Vol. 3: Boysenberry, Blackberry & Raspberry (Nitro)","Reissued. Welcome back to the third jam session in our ongoing series, featuring a trio of wicked berries. This session started with a creamy kettle-soured base that's been fermented really clean. Then we kept hitting it layers of hand-selected fruits until we reached the pitch-perfect harmony of tart, sweet, creamy and refreshing. Store chilled for the freshest performance.",5.2,Pastry Sour,,,,,,,,,,,,,,,,,,,
Altitude Brewing,Altitude Brewing,Happy Place,"This is the quintessential brewer's beer. A classic style that is uncomplicated and easy to drink, but the exact opposite when it comes to the brewing. Endless careful practice, recipe crafting and flawless production technique are all that is needed to produce a full-flavoured and well-balanced Helles. Something that would make a proud Bavarian as happy to drink it as we are happy making it. ",5.2,Helles Lager,,,,,,,,,,,,,,,,,,,
Altitude Brewing,Altitude Brewing,Hang Time (Rocky Ridge Collab),"After making one delicious beer with our mates over in WA, the thirsty world demanded another. This time they came to us for a brew day, and we have created another classic for those demanding dry mouths. Hang time is a punchy, full-bodied hazy using the goodness of 2 hops we have never used before in NZ 101 and Alora. This NZ/US combo delivers passion and stone fruit to the moon that is backed up with tingly yuzu and lime zest and some sweet melon smooches.",6.5,Hazy IPA,,,,,,,,,,,,,,,,,,,
Altitude Brewing,Altitude Brewing,You Can Call Me Al (Aliment Collab),"Hi, my name is Al. I am the very special progeny of a collaboration between breweries Altitude and Aliment. I would like to tell you a bit about myself. I am beautiful dark bronze, fresh espresso colour with a soft tan foam on top. First impressions aside, you should smell my delicious top notes of baked rye sourdough, toasted caramel nuts, sticky toffee pudding and hints of dried fruits. If this doesn't make you love me, then I taste just as good. An Initial rich toasted fruit bread flavour is superseded by a little chocolate note, with a full yet very clean mouthfeel from my lager fermentation.",6.7,Doppelbock,,,,,,,,,,,,,,,,,,,
Altitude Brewing,Altitude Brewing,Jazz Hands,"Brewed for the 2026 WC IPA challenge, this year's entry is Jazz hands; The iconic, inspirational, and awesome time-honoured move that's synonymous with the stage. Don't let it be your Mr Cellophane and pass you by at this year's challenge or any other event. Pungent aromas of fresh sticky buds, key lime pie and blackberry crumble layer up into a hop-saturated mouthfeel that jazz's hard. Dry and refined, the bitterness hits early, right with the saturation of flavour and ends the performance perfectly in the West Coast (end) stage, wanting an encore.",6.8,West Coast IPA,,,,,,,,,,,,,,,,,,,
Altitude Brewing,Altitude Brewing,Alta Fresca: Strawberry & Lime,"Queenstown's hottest summer beverage is back.  This insanely popular concoction is summer in a glass: a fresh and zesty sparkling white sangria with a beautiful pink blush that's poured over ice. 2026 edition brings a classic combo of strawberry and lime to the sangria table. Juicy spring strawberry aromas meld with fresh grape and a light, dry spritzy mouthfeel, with a fresh citrus edge that quenches all thirsts. ",7.5,White Sparkling Sangria,,,,,,,,,,,,,,,,,,,
Altitude Brewing,Altitude Brewing,Rerrero Frocher Choc Hazelnut (Nitro),"When you unwrap this box of chocolates, you know exactly what you're gonna get. Brewed to capture the unmistakable indulgence of a chocolate hazelnut truffle, this indulgent beer pours deep black with notes of Nutella, roasted hazelnuts, Belgian chocolate and espresso. Full-bodied and velvety with a lingering milk chocolate sweetness that is balanced by an easy and mild roasted bitterness.",10,Pastry Stout,,,,,,,,,,,,,,,,,,,
Altitude Brewing,Altitude Brewing,Yodeling School German Chocolate Torte (Nitro),"A decadent pastry stout inspired by the classic German chocolate cake, pouring deep obsidian with a creamy mocha head. Rich aromas of dark chocolate brownie, toasted coconut and fresh roast coffee rise from the glass. The palate layers velvety cocoa, caramelised sugar, creamy coconut and subtle vanilla frosting. All this indulgence is balanced by a subtle earthy bitterness and a touch of roast. Full-bodied and dessert-like without becoming cloying, it finishes clean enough to enjoy another bite.",10,Pastry Stout,,,,,,,,,,,,,,,,,,,
BEERS by Bacon Bros,BEERS by Bacon Bros,Napoleon Bona Beer,,2.5,Bright IPA,,,,,,,,,,,,,,,,,,,
